Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.8761228752136231,0.038228356093168256,0.4493535351753235,0.31740179419517517,17.179742270279878,0.47269397869706153
2,0.6989405012130737,0.019948258623480798,0.46648303031921384,0.12963961608707905,17.956579625210924,0.48931303679943083
3,0.5113046669960022,0.01742049112915993,0.5625796771049499,0.057145644947886466,18.94751413332071,0.5239459203183651
4,0.4932496213912964,0.0159112261980772,0.5447860610485077,0.03670467907562852,18.777317245382324,0.545826542377472
5,0.6091207695007325,0.013594030886888504,0.546953638792038,0.12891036122571678,20.828119041209394,0.5593597576022148
6,0.9274724769592285,0.013382979184389115,0.17954487323760987,0.11341835544677452,20.288192962337696,0.5671732091903686
7,1.0166351675987244,0.011842501498758793,0.17218288719654085,0.1789403909444809,20.078245328273958,0.5659658387303352
8,0.9715412044525147,0.011557875983417034,0.14290642976760864,0.09971993431419833,20.920727471369894,0.6003813424706459
9,0.9688965272903443,0.011900162920355797,0.12313424505293369,0.11284350650023044,20.354346853585746,0.6074574264883995
10,0.9732617998123169,0.010584438405930995,0.38168617844581604,0.36069129467010497,21.72049685862494,0.625329518020153
11,0.9865284276008606,0.010576083958148956,0.3664858055114746,0.3476241683959961,22.114766533863076,0.6218540504574775
12,0.9735292744636536,0.009756063036620617,0.34625891983509066,0.31295078337192533,22.528559926716447,0.6372304278612136
13,0.961030170917511,0.009603965729475021,0.18624570608139038,0.1294949841935886,21.78680966067843,0.6441609773039818
14,1.0720676612854003,0.00941688012331724,0.20877865225076675,0.2969728308916092,21.759581281712922,0.6330998608469963
15,1.0400333213806152,0.008946601562201976,0.2304200541973114,0.2667900788784027,22.292365519159752,0.6528226777911186
16,1.005688223838806,0.009629342034459113,0.22825827956199646,0.22717200040817262,22.175391239449134,0.6572987976670265
17,0.9922943210601807,0.009519156515598298,0.06622233767062426,0.05840780079364777,20.186208681113555,0.6502221721410751
18,0.9997215676307678,0.00961984448134899,0.12847169160842895,0.12750840604305266,21.195549192066284,0.6592326050996781
19,0.9986171007156373,0.009623316451907157,0.1699800157546997,0.17872774124145507,22.278290201059512,0.6575573813915253
20,0.9967016792297363,0.009331762157380581,0.18965491890907288,0.17717114239931106,21.23608822662282,0.6770307353138924
21,0.9990893530845643,0.008237267378717661,0.038764339139161164,0.03146953447594569,21.00555004685567,0.6666720977425575
22,0.998868842124939,0.0085949981585145,0.01064229662930515,0.007696997842896849,20.793543369059403,0.6797124338150025
23,0.9954009914398193,0.008825913444161415,0.011650361742576934,0.00773506777417424,22.604342543425368,0.6876776021718979
24,0.9988013124465942,0.007698609791696072,0.03219683976611123,0.0331011576205492,23.18184066265991,0.6824450758099556
25,0.9932747650146484,0.00819378435611725,0.03281897091306746,0.023750753654167057,22.567547459133802,0.6743747186660767
26,0.9977206993103027,0.008234909661114216,0.027713138945400714,0.02627464008051902,22.747793373380087,0.6926562842726708
27,0.9939455080032349,0.008112519830465317,0.05175415441393852,0.04630062222480774,23.397829887294613,0.7013099697232247
28,1.0320602989196777,0.0075815791636705395,0.09175263404846191,0.1267997944355011,22.753577924474367,0.6896500107645989
29,1.013999447822571,0.007012872248888016,0.2386134684085846,0.26189282178878787,23.566253299409837,0.7086115550994873
30,1.0033827543258667,0.006706155464053154,0.36955090045928957,0.38532917737960815,21.718066373198507,0.7029118478298187
31,1.0036515140533446,0.00677134808152914,0.5442150831222534,0.556566789150238,23.474239717995285,0.7101125550270081
32,1.0075530576705933,0.007466219943016768,0.367199479341507,0.3526871716976166,22.62362216230119,0.6977676570415496
33,1.0034108066558838,0.007282047085464,0.12109370574355126,0.11168729677796364,21.108496704766274,0.700208460688591
34,0.9984275960922241,0.007456157729029656,0.04724203854799271,0.059140969794243575,23.702829623579994,0.7115754657983779
35,1.0018232488632202,0.0063843103684484955,0.3156298530101776,0.3297031915187836,23.436516890324775,0.7150095346570015
36,1.0059193277359009,0.0063639598712325095,0.4090909421443939,0.41960941791534423,23.96615412398959,0.7173363488912582
